Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0007524277""","=""9780007524273""",4,3.61,HarperCollins Children's Book's,Paperback,526,2013,2013,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.32,Bantam,Kindle Edition,1125,2011,2011,2013/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",5,4.14,Bantam Books,Mass Market Paperback,1061,2011,2005,2012/10/01,2020/11/23,,,read,,,,1,,,0,,,,,
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,2012/08/01,2020/11/23,,,read,,,,1,,,0,,,,,
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",5,4.41,Bantam,Paperback,969,2002,1998,2012/03/01,2020/11/23,,,read,,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,2012/01/01,2020/09/09,,,read,,,,1,,,0,,,,,
12111823,"The Winds of Winter (A Song of Ice and Fire, #6)",George R.R. Martin,"Martin, George R.R.",,"=""0002247410""","=""9780002247412""",0,4.40,Harper Voyager,Hardcover,,,,,2020/11/23,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
37825397,"Impostors (Impostors, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""1338151517""","=""9781338151510""",3,3.96,Scholastic Press,Hardcover,407,2018,2018,2019/11/01,2020/11/23,,,read,,,,1,,,0,,,,,
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865392""","=""9780689865398""",4,3.84,Simon Pulse,Paperback,370,2005,2005,2003/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865384""","=""9780689865381""",4,3.85,Simon Pulse,Paperback,425,2005,2005,2003/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",3,4.15,Knopf,Hardcover,480,2008,2005,2011/08/01,2020/09/09,,,read,,,,1,,,0,,,,,
21535271,"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""0756410436""","=""9780756410438""",3,3.89,DAW Books,Hardcover,159,2014,2014,2020/09/01,2020/11/23,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.57,Scholastic Inc.,Paperback,652,2006,2005,2005/09/01,2020/11/23,,,read,,,,1,,,0,,,,,
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",4,4.06,Scholastic Press,Hardcover,398,2010,2010,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.32,Scholastic Press,Hardcover,374,2008,2008,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.30,Scholastic Press,Hardcover,391,2009,2009,2014/01/01,2020/09/09,,,read,,,,1,,,0,,,,,
17157681,"The Hobbit, Part One",J.R.R. Tolkien,"Tolkien, J.R.R.",David Wyatt,"=""""","=""9780007926664""",4,4.30,HarperCollins Children's Books,Paperback,230,2012,1937,1999/01/01,2020/09/09,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2007/10/01,2020/09/09,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,1999/09/01,2020/09/09,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,870,2004,2003,2001/09/01,2020/11/23,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.57,Scholastic,Paperback,734,2002,2000,2000/09/01,2020/11/23,,,read,,,,1,,,0,,,,,
222910,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.46,Ballantine Books,Mass Market Paperback,447,1973,1954,2002/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
838729,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345240340""","=""9780345240347""",5,4.55,Ballantine Books,Mass Market Paperback,385,1974,1955,2002/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling","=""0751565350""","=""9780751565355""",0,3.54,"Little, Brown",Hardcover,343,2016,2016,,2020/11/23,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
38447,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4,4.12,Anchor Books,Paperback,314,1998,1985,2016/01/01,2020/09/11,,,read,,,,2,,,0,,,,,
18302455,The Circle,Dave Eggers,"Eggers, Dave",,"=""""","=""""",2,3.43,Knopf,Hardcover,493,2013,2013,2019/09/01,2020/09/11,,,read,,,,1,,,0,,,,,
28449207,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,"Taylor, Laini",,"=""0316341681""","=""9780316341684""",5,4.28,"Little, Brown Books for Young Readers",Hardcover,544,2017,2017,2019/10/01,2020/09/11,,,read,,,,1,,,0,,,,,
25446343,"Muse of Nightmares (Strange the Dreamer, #2)",Laini Taylor,"Taylor, Laini",,"=""0316341711""","=""9780316341714""",5,4.45,"Little, Brown Books for Young Readers",Hardcover,522,2018,2018,2019/11/01,2020/09/11,,,read,,,,1,,,0,,,,,
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",3,3.92,"Little, Brown",Hardcover,771,2013,2013,2019/06/01,2020/11/23,,,read,,,,1,,,0,,,,,
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn","Leonard Peikoff, Jan de Voogt","=""0452011876""","=""9780452011878""",5,3.69,Plume,Paperback,1168,1999,1957,2011/06/01,2020/11/23,,,read,,,,2,,,0,,,,,
3437309,"Empire in Black and Gold (Shadows of the Apt, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0230704131""","=""9780230704138""",0,3.70,Tor,Paperback,612,2008,2008,,2020/11/23,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
30985088,Spoils of War (Tales of the Apt #1),Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",0,4.15,NewCon Press,Kindle Edition,278,2016,2016,,2020/11/23,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
48643567,The Doors of Eden,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""9781509865925""",0,3.86,Tor,ebook,,2020,2020,,2020/11/23,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"Machado, Carmen Maria",,"=""155597788X""","=""9781555977887""",3,3.89,Graywolf Press,Paperback,248,2017,2017,2019/08/01,2020/11/23,,,read,,,,1,,,0,,,,,
34599653,The Only Girl in the World,Maude Julien,"Julien, Maude",,"=""1925498115""","=""9781925498110""",4,3.75,Text Publishing,Paperback,256,2017,2014,2019/05/01,2020/11/23,,,read,,,,1,,,0,,,,,
12204857,Ghost Boy: My Miraculous Escape from a Life Locked Inside My Own Body,Martin Pistorius,"Pistorius, Martin",Megan Lloyd Davies,"=""0857203312""","=""9780857203311""",3,4.02,Simon & Schuster,Hardcover,288,2011,2011,2019/09/01,2020/11/23,,,read,,,,1,,,0,,,,,
17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,"=""1451666179""","=""9781451666175""",4,4.15,Gallery Books,Paperback,371,2019,2013,2019/12/01,2020/11/23,,,read,,,,1,,,0,,,,,
34328664,"A Conspiracy of Truths (A Conspiracy of Truths, #1)",Alexandra Rowland,"Rowland, Alexandra",,"=""1534412808""","=""9781534412804""",3,3.96,Saga Press,Hardcover,456,2018,2018,2020/08/01,2020/11/23,,,read,,,,1,,,0,,,,,
6164083,I'm So Happy for You,Lucinda Rosenfeld,"Rosenfeld, Lucinda",,"=""0316044504""","=""9780316044509""",1,2.74,Back Bay Books,Paperback,281,2009,2009,2020/06/01,2020/11/23,,,read,,,,1,,,0,,,,,
